PARAM,HORIZON,LANES,MARGIN,NUM_VEHICLES,PARK_CAP_MULT,AIR_SPEED,MAX_ENDURANCE,OPERATIONAL_CAP,TAT,NETWORKS,WEATHER_SCEN,WEATHER_CUTOFF,FIXED_DIR,DEM_MIN_VERT,DEMAND_ALPHA,TIME_DISC,NUM_ROUTES,PP_ALGO,TPR,KNN,PRED_TYPE,SEEDS,TIME_LIMIT,OPT_GAP
105,120,8,5.0,20,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
106,120,2,10.0,20,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
107,120,4,10.0,20,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
108,120,8,10.0,20,2.0,100.0,90,1,15,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
109,120,2,3.0,3,1.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
110,120,4,3.0,3,1.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
111,120,8,3.0,3,1.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
112,120,2,5.0,3,1.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
113,120,4,5.0,3,1.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
114,120,8,5.0,3,1.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
115,120,2,10.0,3,1.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
116,120,4,10.0,3,1.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
117,120,8,10.0,3,1.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
118,120,2,3.0,10,1.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
119,120,4,3.0,10,1.0,100.0,90,1,30,Victor_Network,0,0,0,40.0,30.0,1,1,backward_one,0.7,1,Oracle,405,600,0.01
